name,type,start_time,duration,"ack","address","read","data"
"I2C","start",0.0077562,5e-08,,,,
"I2C","address",0.0077722,9.135e-05,true,0x50,false,
"I2C","data",0.00786895,9.135e-05,true,,,0x00
"I2C","data",0.0079657,9.135e-05,true,,,0x00
"I2C","start",0.0080662,5e-08,,,,
"I2C","address",0.00808225,9.135e-05,true,0x50,true,
"I2C","data",0.008179,9.135e-05,true,,,0x2B
"I2C","data",0.00827575,9.135e-05,true,,,0x7C
"I2C","data",0.0083725,9.135e-05,true,,,0xC5
"I2C","data",0.00846925,9.135e-05,true,,,0xBE
"I2C","data",0.008566,9.135e-05,true,,,0x35
"I2C","data",0.00866275,9.135e-05,true,,,0xA2
"I2C","data",0.0087595,9.135e-05,true,,,0x82
"I2C","data",0.00885625,9.135e-05,true,,,0x8F
"I2C","data",0.008953,9.135e-05,true,,,0xE5
"I2C","data",0.00904975,9.135e-05,true,,,0x02
"I2C","data",0.0091465,9.135e-05,true,,,0x47
"I2C","data",0.00924325,9.135e-05,true,,,0x1E
"I2C","data",0.00934,9.135e-05,true,,,0x44
"I2C","data",0.00943675,9.135e-05,true,,,0xBC
"I2C","data",0.0095335,9.135e-05,true,,,0xCC
"I2C","data",0.00963025,9.135e-05,true,,,0x24
"I2C","data",0.009727,9.135e-05,true,,,0xEA
"I2C","data",0.00982375,9.135e-05,true,,,0xAB
"I2C","data",0.0099205,9.135e-05,true,,,0xD2
"I2C","data",0.01001725,9.135e-05,true,,,0x96
"I2C","data",0.010114,9.135e-05,true,,,0x53
"I2C","data",0.01021075,9.135e-05,true,,,0x54
"I2C","data",0.0103075,9.14e-05,true,,,0x4D
"I2C","data",0.0104043,9.135e-05,true,,,0x50
"I2C","data",0.01050105,9.135e-05,true,,,0x01
"I2C","data",0.0105978,9.135e-05,true,,,0x01
"I2C","data",0.01069455,9.135e-05,true,,,0x01
"I2C","data",0.0107913,9.135e-05,true,,,0x00
"I2C","data",0.01088805,9.135e-05,true,,,0x39
"I2C","data",0.0109848,9.135e-05,true,,,0x00
"I2C","data",0.01108155,9.135e-05,true,,,0x00
"I2C","data",0.0111783,9.135e-05,true,,,0x00
